,_id,comment,download,follow,name,num_score,score,tags,volume,comment_ori,download_ori,follow_ori,num_score_ori,volume_ori
1257,5bf683c0fe8e1d06a4301656,121.0,6.1,2705.0,音频工具箱,44.0,3.7,"['语音转文字', '文字转语音', 'TTS', '音频处理', '音频合成', '背景音乐合成']",6.57,121,6.1万,2705,44,6.57M
1258,5bf683c6fe8e1d06a4301657,63.0,6.1,94.0,花椒直播,28.0,3.0,[],50.52,63,6.1万,94,28,50.52M
1259,5bf683cafe8e1d06a4301658,155.0,6.1,3061.0,去他的 Google Play 服务,46.0,4.1,"['xposed', '谷歌服务']",0.0056640625,155,6.1万,3061,46,5.80K
1260,5bf683d0fe8e1d06a4301659,57.0,6.1,485.0,Sleep Better,33.0,4.2,"['睡眠', '保健']",33.8,57,6.1万,485,33,33.80M
1261,5bf683d8fe8e1d06a430165a,785.0,6.2,2682.0,灵梦,255.0,4.7,"['动态壁纸', '视频壁纸', '视频桌面', '桌面美化', '壁纸', '上手简单', '流畅省电', '桌面定制', '绿色免费']",87.1,785,6.2万,2682,255,87.10M
1262,5bf683defe8e1d06a430165b,49.0,6.2,93.0,企鹅体育,27.0,3.2,"['直播', '体育', '视频', 'NBA', '足球', '台球', '健身', '运动', '跑步']",41.51,49,6.2万,93,27,41.51M
1263,5bf683e4fe8e1d06a430165c,77.0,6.2,470.0,魔力盒,121.0,3.4,"['阅后即焚', '在线视频', '短视频']",15.63,77,6.2万,470,121,15.63M
1264,5bf683e8fe8e1d06a430165d,265.0,6.2,4069.0,MediBangPaint,115.0,4.6,"['绘画', '面板', '漫画']",14.84,265,6.2万,4069,115,14.84M
1265,5bf683ebfe8e1d06a430165e,126.0,6.2,126.0,华为穿戴,85.0,2.3,"['手环', '运动', '码表']",51.96,126,6.2万,126,85,51.96M
1266,5bf683effe8e1d06a430165f,148.0,6.2,1032.0,高效Todo,79.0,4.1,"['GTD', '效率', '备忘录', '日程']",6.13,148,6.2万,1032,79,6.13M
1267,5bf683f5fe8e1d06a4301660,33.0,6.2,341.0,掌厨,26.0,4.3,"['做菜视频', '教学', '吃货', '菜谱']",15.23,33,6.2万,341,26,15.23M
