,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3198,603026,石大胜华,化工原料,山东,16.67,2.03,2.03,288161.63,156896.72,112166.57,41812.15,2.06,0.65,7.76,2.79,20150529,75054.32,3.7,10.57,52.24,11.84,4.81,34721.0
3199,300338,开元股份,电器仪表,湖南,23.87,1.88,3.45,287052.97,85305.02,30497.41,143623.8,4.16,0.19,6.4,1.41,20120726,39712.46,1.15,91.12,18.6,71.22,10.93,7108.0
3200,603322,超讯通信,通信设备,广东,527.8,0.45,1.12,191554.91,160887.95,6509.85,22177.57,1.98,0.03,4.32,5.89,20160728,13825.2,1.23,40.34,186.79,20.35,0.49,14543.0
3201,300098,高新兴,通信设备,广东,25.87,8.86,17.69,758941.88,389400.5,13682.84,259899.92,1.47,0.142,3.03,2.42,20100728,113730.5,0.64,68.67,31.09,39.14,17.89,43260.0
3202,002621,三垒股份,专用机械,辽宁,374.45,2.7,3.38,128522.88,85712.96,5452.66,39642.75,1.17,0.022000000000000002,3.42,4.92,20110929,37430.1,1.11,62.99,-13.19,35.09,7.78,7806.0
3203,300546,雄帝科技,元器件,深圳,51.9,0.64,1.35,92407.52,82590.88,1495.25,19640.39,1.45,0.254,4.9,5.39,20160928,31790.4,2.35,67.26,37.95,44.22,14.78,13563.0
3204,603722,阿科力,化工原料,江苏,57.37,0.22,0.87,67043.25,32920.34,15699.17,24580.75,2.84,0.264,5.86,5.17,20171025,15712.15,1.81,44.62,-6.87,22.64,11.85,20764.0
3205,600446,金证股份,软件服务,深圳,54.79,8.35,8.53,447866.69,304097.53,6442.33,22172.24,0.26,0.087,2.12,4.49,20031224,61195.65,0.72,32.61,265.25,20.87,3.04,83346.0
3206,300331,苏大维格,元器件,江苏,35.77,1.32,2.26,201421.34,107327.76,29365.3,93904.46,4.15,0.172,6.26,1.97,20120628,21781.15,0.96,27.81,8.95,27.6,7.29,20019.0
3207,000519,中兵红箭,矿物制品,湖南,35.37,7.35,14.03,985533.88,638142.81,223350.7,352332.28,2.51,0.111,5.48,1.43,19931008,262213.47,1.87,25.62,7959.43,23.61,7.51,92697.0
3208,300579,数字认证,软件服务,北京,66.53,0.44,1.2,90289.1,84190.2,1827.79,20225.42,1.69,0.20199999999999999,4.55,5.9,20161223,19864.32,1.66,19.92,-26.13,62.69,11.66,12865.0
3209,300085,银之杰,软件服务,深圳,2925.27,4.14,7.07,230842.97,139862.86,1393.42,37557.14,0.53,0.002,1.87,5.69,20100526,22058.4,0.31,33.87,-87.31,34.66,0.2,43304.0
3210,300628,亿联网络,通信设备,福建,21.48,0.75,2.99,320725.47,305480.06,10938.32,137536.25,4.6,1.3730000000000002,10.24,5.76,20170317,127654.42,4.27,22.74,34.43,60.56,48.8,20347.0
3211,603018,中设集团,建筑施工,江苏,15.58,3.09,3.14,599286.56,504364.31,37779.87,81142.5,2.59,0.54,7.14,2.33,20141013,107708.07,3.43,68.03,38.96,28.18,9.85,11768.0
3212,300378,鼎捷软件,软件服务,上海,41.54,2.61,2.65,197720.81,100403.36,74937.25,61054.06,2.31,0.133,4.7,2.35,20140127,35093.03,1.33,6.67,6.26,84.39,5.75,23000.0
3213,300699,光威复材,化工原料,山东,34.59,2.08,3.68,322481.03,220862.97,53398.03,159460.25,4.33,0.5820000000000001,7.31,5.51,20170901,68924.45,1.87,32.59,40.37,49.06,32.93,36341.0
3214,300027,华谊兄弟,影视音像,浙江,27.76,22.11,27.95,2015404.25,854720.19,88798.9,253540.27,0.91,0.1,3.56,1.55,20091030,409502.72,1.47,44.77,-35.54,54.99,13.07,135753.0
3215,002932,明德生物,医疗保健,湖北,54.86,0.17,0.67,29955.41,20114.71,5795.18,2730.45,0.41,0.78,5.59,11.41,20180710,18305.6,2.75,0.0,0.0,78.37,39.56,33441.0
3216,002056,横店东磁,元器件,浙江,16.79,16.42,16.44,632006.0,372278.47,207702.27,36224.73,0.22,0.196,2.89,2.28,20060802,236740.72,1.44,11.6,45.2,25.07,10.54,78326.0
3217,000537,广宇发展,区域地产,天津,4.56,4.06,18.63,7420815.0,6730072.0,191606.25,282715.91,1.52,0.8959999999999999,5.95,1.37,19931210,629707.56,3.38,111.55,465.1,31.7,16.84,34168.0
3218,000768,中航飞机,航空,陕西,139.32,27.69,27.69,4537669.0,3748697.25,460830.06,1014027.88,3.66,0.059000000000000004,5.65,2.9,19970626,150165.88,0.54,23.47,77.33,5.89,1.22,158356.0
3219,600011,华能国际,火力发电,北京,25.28,105.0,152.0,38158296.0,5618571.5,24027128.0,1483269.5,0.98,0.13,4.67,1.52,20011206,3244636.25,2.13,15.36,170.29,13.15,2.58,79424.0
3220,000595,宝塔实业,机械基件,宁夏,257.76,7.54,7.64,183285.05,87312.47,47094.18,47904.48,0.63,0.006999999999999999,0.92,4.12,19960419,-50603.35,-0.66,25.7,-54.32,22.64,2.36,49677.0
3221,002424,贵州百灵,中成药,贵州,24.8,7.28,14.11,499229.19,379480.88,68626.45,13592.17,0.1,0.18600000000000003,2.53,3.65,20100603,176751.02,1.25,7.12,10.13,63.18,19.98,73109.0
3222,300656,民德电子,电脑设备,深圳,43.89,0.45,0.9,59139.05,46103.45,712.1,19773.22,2.2,0.266,4.75,4.91,20170519,12445.53,1.38,60.39,30.1,38.85,26.68,6350.0
3223,603363,傲农生物,饲料,福建,163.72,0.6,4.26,314833.63,133659.3,89100.93,22155.01,0.52,0.04,1.89,6.87,20170926,17682.92,0.42,20.9,-73.76,13.81,0.62,26568.0
3224,300532,今天国际,软件服务,深圳,50.78,1.2,2.77,132416.48,104791.61,7660.17,23011.7,0.83,0.122,2.84,4.37,20160818,27710.99,1.0,67.38,56.05,34.19,11.91,12957.0
3225,002669,康达新材,化工原料,上海,39.44,2.29,2.41,227790.77,145325.5,24127.4,122103.47,5.06,0.16399999999999998,7.76,1.67,20120416,36410.46,1.51,37.87,3.87,31.15,11.59,6059.0
3226,300059,东方财富,互联网,上海,57.13,41.53,51.68,4508660.0,3956155.25,179124.56,548684.31,1.06,0.10800000000000001,2.72,4.54,20100319,309585.0,0.6,48.64,114.77,71.57,78.48,230167.0
3227,600483,福能股份,火力发电,福建,15.25,12.58,15.52,2358366.75,542552.31,1358802.38,320497.75,2.07,0.262,6.83,1.17,20040531,313928.09,2.02,55.8,37.85,15.11,10.6,26111.0
3228,002413,雷科防务,通信设备,江苏,48.98,9.95,11.4,451483.09,239530.8,10819.21,222515.02,1.95,0.06,3.49,1.67,20100528,53669.36,0.47,33.16,34.64,49.57,17.28,58171.0
