cat_name,com_id,com_logo_archive,com_name,com_prov,com_scope_id,current	,invse_currency_id,invse_day,invse_detail_money,invse_guess_particulars,invse_month,invse_round_id,invse_year,round
电子商务,17468,ef4bd92e412c4b4d07a1fa1738a77ea6.png,快塑网,广东,145,,1,15,35000,15.00,11,16,2016,B+轮
企业服务,14029,9c36a206108ff82646f852e1102e9c74.png,Udesk,北京,126,,1,28,30000,15.00,9,4,2018,C轮
企业服务,14644,archive/14644.png,全时,北京,126,,1,13,--,15.00,4,4,2015,C轮
游戏,6440,69e6cc50eec2b2ddf1895d58756ffdf4.jpg,深圳岂凡网络,广东,80,,1,3,--,15.00,4,2,2018,A轮
医疗健康,32401,e52500ce8b827b06eab7b40d9a096a2c.jpg,太美医疗,浙江,47,,1,9,30000,15.00,4,5,2018,D轮
房产服务,25875,3361e39de4afb1f94e8a4d573451499f.png,爱上租,浙江,38,,1,28,30000,15.00,9,3,2017,B轮
游戏,14595,archive/14595.png,4399游戏网,福建,80,,1,20,--,15.00,6,3,2014,B轮
房产服务,34471,d26aa7b8ddcf53a594c4fff51c65b65a.jpg,空间家,北京,38,,1,16,--,15.00,4,3,2018,B轮
企业服务,58297,b97f5cbcda0834140bdb0d7534b4a2e2.png,杭州绿湾,浙江,126,,1,16,30000,15.00,1,3,2017,B轮
医疗健康,57807,e47157098d82ee076d4b28187b6878c2.png,前沿生物,江苏,47,,1,3,30000,15.00,1,4,2017,C轮
医疗健康,58379,e1f166b6a3ea5e11878363a7899113db.png,邦尔骨科,浙江,47,,1,9,30000,15.00,5,4,2018,C轮
企业服务,57933,250b6d143986a05ee70c54ea60b9a8c2.png,深醒科技,北京,126,,1,1,--,15.00,6,3,2018,B轮
房产服务,17772,4faa80dc02e9eb956bee7f694677928f.png,巴乐兔,上海,38,,1,10,30000,15.00,5,16,2018,B+轮
硬件,32569572,1018f76e7c06f183af4ba08de32095eb.png,麒盛科技,浙江,103,,1,1,20000,15.00,2,11,2018,战略投资
电子商务,56292,743dc810c107f8598f347758ddec2cfe.png,领添信息,江苏,145,,1,21,30000,15.00,6,3,2016,B轮
教育,1766,archive/1766.png,邢帅教育,广东,1,,1,6,30000,15.00,4,3,2016,B轮
医疗健康,17826,eab52baa8928cd3ff4ca4b2189b57b26.png,妈咪知道,广东,47,,1,26,15000,15.00,6,4,2018,C轮
